,Image,7107,10475,16195,Majority Decision,Gold,GPT-4,GPT-4o,GPT-4-Neu
51,abaerbock_22-09-2021_00:00_image8.jpeg,3+,3+,3+,3+,3+,3+,3,3
52,spdde_26-09-2021_00:00_video18.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
54,christianlindner_17-09-2021_00:00_image5.jpeg,1,1,1,1,1,1,1,1
55,olafscholz_21-09-2021_00:00_video3.jpeg,1,1,1,1,1,1,1,1
56,spdde_20-09-2021_00:00_video7.jpeg,3+,3+,2,3+,3+,3+,3+,3+
57,armin_laschet_20-09-2021_00:00_video5.jpeg,1,1,1,1,1,1,1,1
59,olafscholz_13-09-2021_00:00_video4.jpeg,3+,2,2,2,2,2,3+,3+
60,armin_laschet_20-09-2021_00:00_video0.jpeg,1,1,1,1,1,1,1,1
61,christlichsozialeunion_20-09-2021_00:00_video6.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
63,spdde_26-09-2021_00:00_video11.jpeg,1,0,0,0,0,0,0,0
64,spdde_21-09-2021_00:00_video0.jpeg,2,2,2,2,2,2,2,2
66,christianlindner_17-09-2021_00:00_image4.jpeg,1,1,1,1,1,1,1,1
67,markus.soeder_25-09-2021_00:00_video1.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
69,cdu_13-09-2021_00:00_video17.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
71,die_gruenen_24-09-2021_00:00_image0.jpeg,1,1,1,1,1,1,1,1
72,abaerbock_17-09-2021_00:00_image3.jpeg,2,2,2,2,2,2,2,2
73,armin_laschet_13-09-2021_00:00_image0.jpeg,1,1,1,1,1,1,1,1
74,christlichsozialeunion_21-09-2021_00:00_video3.jpeg,1,1,1,1,1,1,1,1
75,spdde_20-09-2021_00:00_video0.jpeg,3+,1,1,1,1,1,1,1
76,abaerbock_13-09-2021_00:00_image1.jpeg,2,2,2,2,2,2,2,2
77,armin_laschet_25-09-2021_00:00_video5.jpeg,1,1,1,1,1,1,1,1
80,die_gruenen_20-09-2021_00:00_image0.jpeg,1,1,1,1,1,1,1,1
83,cdu_19-09-2021_00:00_video5.jpeg,1,1,1,1,1,1,1,1
85,armin_laschet_24-09-2021_00:00_video17.jpeg,1,1,1,1,1,1,1,1
86,spdde_20-09-2021_00:00_video6.jpeg,1,1,1,1,1,1,1,1
87,cdu_26-09-2021_00:00_video4.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
88,armin_laschet_14-09-2021_00:00_video1.jpeg,1,1,1,1,1,1,1,1
89,christlichsozialeunion_25-09-2021_00:00_video2.jpeg,1,0,0,0,0,0,1,0
90,abaerbock_18-09-2021_00:00_image10.jpeg,1,1,1,1,1,1,2,1
91,christianlindner_21-09-2021_00:00_image1.jpeg,1,1,1,1,1,1,1,1
94,armin_laschet_22-09-2021_00:00_image3.jpeg,2,2,2,2,2,2,2,2
96,cdu_20-09-2021_00:00_video0.jpeg,1,1,1,1,1,1,1,1
97,armin_laschet_16-09-2021_00:00_video0.jpeg,1,1,1,1,1,1,1,1
98,armin_laschet_21-09-2021_00:00_image3.jpeg,0,0,0,0,0,0,1,0
99,armin_laschet_17-09-2021_00:00_video12.jpeg,2,2,2,2,2,2,2,2
100,armin_laschet_17-09-2021_00:00_video4.jpeg,1,1,2,1,1,1,3+,2
101,christlichsozialeunion_16-09-2021_00:00_video13.jpeg,1,1,3+,1,1,3+,3+,3+
102,abaerbock_23-09-2021_00:00_video0.jpeg,2,2,2,2,2,3+,2,2
103,abaerbock_16-09-2021_00:00_image1.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
106,olafscholz_23-09-2021_00:00_video0.jpeg,2,2,2,2,2,2,3+,2
107,armin_laschet_26-09-2021_00:00_video1.jpeg,1,1,1,1,1,1,1,1
108,armin_laschet_19-09-2021_00:00_image1.jpeg,1,1,1,1,1,1,1,1
109,christianlindner_26-09-2021_00:00_image2.jpeg,1,1,1,1,1,1,1,1
110,armin_laschet_24-09-2021_00:00_video1.jpeg,2,2,2,2,2,2,2,2
112,abaerbock_26-09-2021_00:00_image6.jpeg,2,2,2,2,2,2,3+,3+
113,markus.soeder_23-09-2021_00:00_image0.jpeg,1,1,1,1,1,1,1,1
114,armin_laschet_17-09-2021_00:00_image3.jpeg,2,2,2,2,2,2,2,2
115,olafscholz_23-09-2021_00:00_image1.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
116,olafscholz_26-09-2021_00:00_video6.jpeg,1,1,1,1,1,1,1,1
117,cdu_22-09-2021_00:00_video8.jpeg,3+,2,3+,3+,3+,2,3+,2
118,cdu_18-09-2021_00:00_image2.jpeg,2,2,2,2,2,2,2,2
119,armin_laschet_24-09-2021_00:00_video9.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
121,olafscholz_26-09-2021_00:00_image5.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
122,christianlindner_23-09-2021_00:00_image1.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
123,abaerbock_24-09-2021_00:00_image9.jpeg,1,1,1,1,1,2,2,2
125,abaerbock_20-09-2021_00:00_image6.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
126,olafscholz_19-09-2021_00:00_image6.jpeg,1,1,1,1,1,1,1,1
127,armin_laschet_24-09-2021_00:00_video16.jpeg,1,1,1,1,1,1,1,1
128,cdu_18-09-2021_00:00_video1.jpeg,2,2,3+,2,2,3+,3+,3+
129,cdu_26-09-2021_00:00_video6.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
130,abaerbock_21-09-2021_00:00_video0.jpeg,2,2,2,2,2,1,2,2
131,die_gruenen_25-09-2021_00:00_video30.jpeg,1,1,1,1,1,1,1,1
132,armin_laschet_25-09-2021_00:00_video17.jpeg,3+,1,3+,3+,3+,1,3+,3+
133,abaerbock_14-09-2021_00:00_image11.jpeg,1,1,1,1,1,1,1,1
134,olafscholz_22-09-2021_00:00_video8.jpeg,1,1,1,1,1,1,1,1
135,olafscholz_26-09-2021_00:00_video0.jpeg,2,2,3+,2,2,2,2,2
136,spdde_20-09-2021_00:00_video3.jpeg,1,0,0,0,0,0,1,0
138,armin_laschet_23-09-2021_00:00_image2.jpeg,2,2,2,2,2,2,2,2
139,abaerbock_22-09-2021_00:00_image14.jpeg,3+,2,3+,3+,3+,3+,3+,3+
141,armin_laschet_13-09-2021_00:00_image1.jpeg,1,1,1,1,1,1,1,1
142,abaerbock_17-09-2021_00:00_video6.jpeg,2,2,2,2,2,2,2,2
143,armin_laschet_25-09-2021_00:00_video0.jpeg,2,2,2,2,2,2,2,2
146,olafscholz_25-09-2021_00:00_image4.jpeg,1,1,1,1,1,2,2,2
147,abaerbock_23-09-2021_00:00_image10.jpeg,1,1,1,1,1,1,1,1
150,cdu_13-09-2021_00:00_video0.jpeg,1,1,1,1,1,1,1,1
153,armin_laschet_17-09-2021_00:00_image6.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
155,christianlindner_25-09-2021_00:00_image5.jpeg,2,2,2,2,2,3+,3+,3+
157,cdu_18-09-2021_00:00_video3.jpeg,1,1,3+,1,1,1,3+,3+
158,armin_laschet_20-09-2021_00:00_image0.jpeg,1,1,0,1,1,1,1,1
159,christianlindner_25-09-2021_00:00_image6.jpeg,1,1,1,1,1,1,1,1
160,christlichsozialeunion_26-09-2021_00:00_image3.jpeg,1,1,1,1,1,1,1,1
161,markus.soeder_17-09-2021_00:00_image0.jpeg,1,1,1,1,1,1,1,1
163,armin_laschet_23-09-2021_00:00_video2.jpeg,2,2,2,2,2,2,2,2
165,olafscholz_26-09-2021_00:00_image4.jpeg,1,1,1,1,1,1,1,1
169,armin_laschet_18-09-2021_00:00_video2.jpeg,2,2,2,2,2,3+,2,3+
170,armin_laschet_24-09-2021_00:00_video6.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
173,armin_laschet_17-09-2021_00:00_image7.jpeg,3+,3+,2,3+,3+,3+,3+,3+
177,armin_laschet_21-09-2021_00:00_video5.jpeg,1,1,1,1,1,1,1,1
179,spdde_19-09-2021_00:00_video11.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
181,armin_laschet_23-09-2021_00:00_video6.jpeg,1,1,1,1,1,1,1,1
182,abaerbock_14-09-2021_00:00_video3.jpeg,1,1,1,1,1,1,1,1
183,die_gruenen_20-09-2021_00:00_image7.jpeg,1,1,1,1,1,1,1,1
184,christianlindner_17-09-2021_00:00_image1.jpeg,2,2,3+,2,2,2,3+,2
185,armin_laschet_26-09-2021_00:00_video9.jpeg,1,1,1,1,1,2,2,2
186,armin_laschet_19-09-2021_00:00_video3.jpeg,2,2,2,2,2,2,2,2
187,christlichsozialeunion_25-09-2021_00:00_video17.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
189,fdp_20-09-2021_00:00_image9.jpeg,3+,3+,1,3+,3+,3+,3+,3+
190,abaerbock_21-09-2021_00:00_image0.jpeg,2,2,2,2,2,2,2,2
191,olafscholz_19-09-2021_00:00_image4.jpeg,1,1,0,1,1,1,1,1
192,armin_laschet_19-09-2021_00:00_image7.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
193,abaerbock_25-09-2021_00:00_image0.jpeg,2,2,2,2,2,3+,3+,3+
195,christianlindner_22-09-2021_00:00_image1.jpeg,1,1,1,1,1,1,1,1
196,abaerbock_18-09-2021_00:00_image12.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
197,olafscholz_25-09-2021_00:00_image2.jpeg,1,1,1,1,1,1,1,1
198,olafscholz_17-09-2021_00:00_image3.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
199,cdu_20-09-2021_00:00_video21.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
201,olafscholz_17-09-2021_00:00_image4.jpeg,1,1,1,1,1,1,1,1
202,die_gruenen_26-09-2021_00:00_video2.jpeg,2,2,2,2,2,2,2,2
205,armin_laschet_22-09-2021_00:00_video4.jpeg,1,1,1,1,1,1,1,1
206,christianlindner_22-09-2021_00:00_video1.jpeg,1,1,1,1,1,1,1,1
208,die_gruenen_13-09-2021_00:00_image0.jpeg,1,1,1,1,1,1,1,1
209,armin_laschet_17-09-2021_00:00_video13.jpeg,3+,3+,2,3+,3+,3+,3+,3+
210,cdu_26-09-2021_00:00_video5.jpeg,2,2,2,2,2,2,2,2
211,cdu_26-09-2021_00:00_video9.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
212,olafscholz_22-09-2021_00:00_video0.jpeg,2,2,2,2,2,2,3+,2
213,christlichsozialeunion_24-09-2021_00:00_video9.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
214,armin_laschet_23-09-2021_00:00_video10.jpeg,2,2,2,2,2,2,2,2
216,armin_laschet_23-09-2021_00:00_video4.jpeg,1,1,1,1,1,1,1,1
217,armin_laschet_18-09-2021_00:00_image0.jpeg,1,2,1,1,1,2,2,2
218,die_gruenen_25-09-2021_00:00_video18.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
220,armin_laschet_25-09-2021_00:00_image0.jpeg,1,2,1,1,1,2,1,2
221,olafscholz_19-09-2021_00:00_video12.jpeg,2,1,1,1,1,3+,3+,3+
222,armin_laschet_23-09-2021_00:00_video0.jpeg,2,2,2,2,2,2,3+,2
224,armin_laschet_24-09-2021_00:00_image0.jpeg,1,2,1,1,1,2,2,2
225,die_gruenen_25-09-2021_00:00_video32.jpeg,1,1,1,1,1,1,1,1
226,olafscholz_26-09-2021_00:00_video8.jpeg,3+,1,1,1,1,3+,3+,3+
232,olafscholz_18-09-2021_00:00_video5.jpeg,1,1,1,1,1,1,1,1
233,abaerbock_16-09-2021_00:00_image2.jpeg,3+,3+,3+,3+,3+,3+,3+,3
234,cdu_25-09-2021_00:00_video10.jpeg,3+,1,3+,3+,3+,3+,3+,3+
235,cdu_25-09-2021_00:00_video9.jpeg,1,1,1,1,1,1,1,1
236,christianlindner_20-09-2021_00:00_image3.jpeg,1,1,1,1,1,1,1,1
238,armin_laschet_20-09-2021_00:00_video3.jpeg,1,1,1,1,1,1,1,1
239,christianlindner_24-09-2021_00:00_image3.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
241,abaerbock_25-09-2021_00:00_video2.jpeg,2,2,2,2,2,2,2,2
242,abaerbock_17-09-2021_00:00_video4.jpeg,2,2,2,2,2,2,2,2
244,markus.soeder_21-09-2021_00:00_image1.jpeg,1,1,1,1,1,1,1,1
245,armin_laschet_17-09-2021_00:00_video7.jpeg,3+,0,0,0,0,3+,3+,3+
246,spdde_26-09-2021_00:00_video10.jpeg,2,2,2,2,2,2,2,2
248,markus.soeder_16-09-2021_00:00_video0.jpeg,1,1,1,1,1,1,1,1
250,christlichsozialeunion_16-09-2021_00:00_video14.jpeg,1,1,1,1,1,1,1,1
252,armin_laschet_21-09-2021_00:00_video4.jpeg,1,1,1,1,1,1,1,1
254,christlichsozialeunion_18-09-2021_00:00_video17.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
255,olafscholz_22-09-2021_00:00_image4.jpeg,2,2,2,2,2,2,2,2
257,olafscholz_26-09-2021_00:00_image0.jpeg,3+,3+,3+,3+,3+,1,3+,3+
258,fdp_22-09-2021_00:00_video3.jpeg,1,1,1,1,1,1,1,1
259,christianlindner_23-09-2021_00:00_image0.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
260,christianlindner_25-09-2021_00:00_image3.jpeg,1,1,1,1,1,1,1,1
261,olafscholz_22-09-2021_00:00_image6.jpeg,1,1,1,1,1,1,1,1
262,abaerbock_13-09-2021_00:00_video1.jpeg,2,2,2,2,2,2,2,2
266,spdde_21-09-2021_00:00_image0.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
268,cdu_17-09-2021_00:00_image3.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
269,spdde_26-09-2021_00:00_video12.jpeg,1,0,0,0,0,0,0,0
270,christianlindner_18-09-2021_00:00_video2.jpeg,3+,1,3+,3+,3+,3+,3+,3+
271,cdu_18-09-2021_00:00_image3.jpeg,1,1,1,1,1,1,1,1
272,olafscholz_17-09-2021_00:00_video1.jpeg,3+,2,2,2,2,3+,3+,3+
274,armin_laschet_25-09-2021_00:00_video13.jpeg,3+,3+,3+,3+,3+,3+,3+,3+
275,armin_laschet_17-09-2021_00:00_image2.jpeg,1,1,1,1,1,1,1,1
277,armin_laschet_22-09-2021_00:00_video11.jpeg,3+,2,2,2,2,2,3+,2
278,christianlindner_18-09-2021_00:00_video1.jpeg,3+,2,2,2,2,3+,3+,3+
279,olafscholz_20-09-2021_00:00_video4.jpeg,1,1,1,1,1,1,1,1
