,face_uuid,account_name,Ground Truth,filename,match_file,match_score,model,distance_metric,number_of_hits,Model
46,ecc2b064-f9ea-4e6c-8ebd-7e57266802ce,abaerbock,Unknown,abaerbock_16-09-2021_00:00_image8.jpeg,,,,,,Unknown
47,6763653e-1115-489c-8a89-b80398b522be,abaerbock,Annalena Baerbock,abaerbock_16-09-2021_00:00_image8.jpeg,,,,,,Unknown
48,00365845-c602-43ce-8cd0-aebd9be00e1c,abaerbock,Unknown,abaerbock_16-09-2021_00:00_image8.jpeg,,,,,,Unknown
60,ed30461d-590f-4f03-ab3d-97f9a0e385c7,olafscholz,Unknown,olafscholz_19-09-2021_00:00_image3.jpeg,,,,,,Unknown
68,03d3d740-8428-49fb-b7a4-b34bca3a1f2d,cdu,Unknown,cdu_20-09-2021_00:00_video16.jpeg,,,,,,Unknown
69,97d04a82-8cda-41df-b1aa-71236cc4df7a,cdu,Unknown,cdu_20-09-2021_00:00_video16.jpeg,,,,,,Unknown
72,08725f5a-76ff-4c97-bfef-bb96a8ed257b,armin_laschet,Armin Laschet,armin_laschet_16-09-2021_00:00_image0.jpeg,7cdeee40-f222-4b03-a819-4db32fc47d20.png,1.001871318096836,Facenet512,euclidean_l2,1.0,Armin Laschet
73,f22d3b4c-c982-476e-b477-823a7c5d6be1,armin_laschet,Unknown,armin_laschet_16-09-2021_00:00_image0.jpeg,,,,,,Unknown
74,60e8b4ef-97ef-463b-ad15-a4798e471b25,abaerbock,Unknown,abaerbock_18-09-2021_00:00_image7.jpeg,,,,,,Unknown
75,b44efec9-bee1-4ad6-af8a-c9a010fac1c8,abaerbock,Annalena Baerbock,abaerbock_18-09-2021_00:00_image7.jpeg,,,,,,Unknown
76,63333411-6903-48bc-a8a6-a44242020c8e,armin_laschet,Armin Laschet,armin_laschet_23-09-2021_00:00_video11.jpeg,cc6b3530-cd71-4500-a5fe-d868c449b8d1.png,1.0282618262795138,Facenet512,euclidean_l2,1.0,Armin Laschet
77,0d6b375c-6c81-4332-81f9-5962d7d4dd63,armin_laschet,Unknown,armin_laschet_23-09-2021_00:00_video11.jpeg,,,,,,Unknown
78,496410d6-586f-4b4d-a4c1-2e1e9b6b07a6,armin_laschet,Unknown,armin_laschet_23-09-2021_00:00_video11.jpeg,,,,,,Unknown
79,0514cbc0-9c32-41c4-bb52-71dc57f9a816,cdu,Armin Laschet,cdu_13-09-2021_00:00_video10.jpeg,1bd44b42-05b1-4e5e-9ecf-b19872c3a776.png,0.6316004752094275,Facenet512,euclidean_l2,20.0,Armin Laschet
80,8cf09a2e-3260-4e49-bd5a-69a5e1b9ece8,cdu,Unknown,cdu_13-09-2021_00:00_video10.jpeg,,,,,,Unknown
81,9f274a04-aaf8-4463-8177-337163b78915,armin_laschet,Armin Laschet,armin_laschet_13-09-2021_00:00_image1.jpeg,f891fb5e-737c-4bf0-9c55-824f2cdff348.png,0.6367235305661194,Facenet512,euclidean_l2,16.0,Armin Laschet
82,6b889d34-9e1d-4b9a-9057-804ef969d860,armin_laschet,Unknown,armin_laschet_13-09-2021_00:00_image1.jpeg,,,,,,Unknown
83,c04418b1-3f23-4095-911c-d9cad257e5d2,spdde,Unknown,spdde_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
84,a5aad0ac-6c55-418d-be84-bf0bf2b9c8e1,spdde,Unknown,spdde_18-09-2021_00:00_image1.jpeg,82f4d29e-1d17-4672-b015-52009fda2a23.png,0.9222744865968092,Facenet512,euclidean_l2,4.0,Olaf Scholz
85,dad6d171-6ce7-4524-b389-5ac05c564e4e,spdde,Unknown,spdde_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
86,19741873-ccb9-41eb-8b81-8eeaa8319697,spdde,Unknown,spdde_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
87,3fab20b1-3b98-4a52-b380-1122ae258961,spdde,Unknown,spdde_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
88,a22a61cd-0ca3-41ed-8a4c-77f13bd3e2e1,spdde,Unknown,spdde_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
89,cfa1fe3b-d37d-4123-bd5a-1c7321a6ee85,spdde,Unknown,spdde_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
90,1bf03476-965c-4001-bf17-b63e605b43f5,spdde,Olaf Scholz,spdde_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
91,7b91803a-49ba-4e1c-9e6e-742e44db6de5,spdde,Unknown,spdde_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
92,08b95eb9-a049-47e3-b666-261f715c4b56,spdde,Unknown,spdde_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
93,139da1ac-7806-498d-9eb0-60d9a241265c,spdde,Unknown,spdde_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
94,59b7356a-e048-4076-8fa4-d24ef2d3afd0,spdde,Unknown,spdde_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
95,4a5c9a20-eb5a-4942-b14f-48ed62350ad6,spdde,Unknown,spdde_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
96,9c6cf6b9-3c93-4f08-89e4-b8347a560227,spdde,Unknown,spdde_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
97,21948004-30a8-4529-b7b4-92f591d67597,spdde,Unknown,spdde_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
98,7be9d80d-369d-4cf3-a5c0-66bef581c293,spdde,Unknown,spdde_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
99,de38f29e-e171-416b-a04f-a9def9bafcf1,spdde,Unknown,spdde_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
100,fb4c4ce8-086b-4084-b806-1fe4f4349745,spdde,Unknown,spdde_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
101,d43c5ed0-f4a1-4053-873b-c3c8ae303cf5,spdde,Unknown,spdde_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
102,457992a2-7888-41ed-9c9d-403776258379,spdde,Unknown,spdde_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
103,5261769e-6cd1-4df6-999d-f86215acaf43,spdde,Unknown,spdde_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
104,56d55dcb-acb8-4dd6-bd56-e1bbab781bdc,spdde,Unknown,spdde_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
105,6fb3bc31-50f5-4766-9840-33b235aac0aa,olafscholz,Unknown,olafscholz_24-09-2021_00:00_image1.jpeg,,,,,,Unknown
106,2117a2bc-2a6d-493a-8842-1c9bfbf073a5,olafscholz,Olaf Scholz,olafscholz_24-09-2021_00:00_image1.jpeg,b4140b08-8bd8-4631-a580-a48195a9970a.png,0.7084092491796604,Facenet512,euclidean_l2,19.0,Olaf Scholz
107,e6ec5a62-776c-4f20-9967-034c46c93873,olafscholz,Unknown,olafscholz_24-09-2021_00:00_image1.jpeg,,,,,,Unknown
108,614afe77-9bef-4ab9-b5d2-05747dd2cd42,die_gruenen,Unknown,die_gruenen_25-09-2021_00:00_video27.jpeg,,,,,,Unknown
109,0ffd3dc8-bcf5-4952-88b4-95f92d9b0d19,die_gruenen,Unknown,die_gruenen_25-09-2021_00:00_video27.jpeg,,,,,,Unknown
110,25963164-5ea9-4d51-b732-12e88523359d,die_gruenen,Unknown,die_gruenen_25-09-2021_00:00_video27.jpeg,,,,,,Unknown
111,e4b90ebc-9681-4a06-b058-dc745a01b151,die_gruenen,Unknown,die_gruenen_25-09-2021_00:00_video27.jpeg,,,,,,Unknown
112,f1a9ac2b-d716-4e1a-b610-572b99208b90,die_gruenen,Unknown,die_gruenen_25-09-2021_00:00_video27.jpeg,,,,,,Unknown
113,3673416b-de6a-4b06-bd66-3cad1d875fcd,die_gruenen,Unknown,die_gruenen_25-09-2021_00:00_video27.jpeg,,,,,,Unknown
114,6aa66a69-f9b3-4baf-bdcf-95ad76aeb1f6,die_gruenen,Unknown,die_gruenen_25-09-2021_00:00_video27.jpeg,,,,,,Unknown
115,a00ed167-04b9-4f6b-9a43-ca6a19f9adb9,christlichsozialeunion,Unknown,christlichsozialeunion_23-09-2021_00:00_video7.jpeg,,,,,,Unknown
116,49bd0e0a-516c-4cc3-aa08-fea433263486,fdp,Unknown,fdp_20-09-2021_00:00_image13.jpeg,,,,,,Unknown
117,c3a8a841-3a32-4a15-93c4-2bcb2019c1d9,fdp,Unknown,fdp_20-09-2021_00:00_image13.jpeg,,,,,,Unknown
118,e75ced77-ad09-448a-940d-c367c84b2532,fdp,Unknown,fdp_20-09-2021_00:00_image13.jpeg,,,,,,Unknown
119,3ec342f1-7818-4fa9-a12e-c9da37806c6f,fdp,Unknown,fdp_20-09-2021_00:00_image13.jpeg,cebfea5f-bce7-498c-9d1a-5b80c9e97361.png,0.9236658085264088,Facenet512,euclidean_l2,5.0,Christian Lindner
120,321e76ce-52c5-4cf5-bc22-092f45c816d0,fdp,Unknown,fdp_20-09-2021_00:00_image13.jpeg,,,,,,Unknown
121,551b0d5a-7a8b-4b86-b1f2-bfe5ab3bc0a1,fdp,Unknown,fdp_20-09-2021_00:00_image13.jpeg,,,,,,Unknown
122,3443bc59-4bf3-41a9-93d8-01abc7357cb0,fdp,Unknown,fdp_20-09-2021_00:00_image13.jpeg,,,,,,Unknown
123,1c41b0cc-8554-4e8d-a268-f1324ae37f13,fdp,Unknown,fdp_20-09-2021_00:00_image13.jpeg,,,,,,Unknown
124,bc4f413d-2b77-4980-bd42-0129bcbf5747,fdp,Unknown,fdp_20-09-2021_00:00_image13.jpeg,,,,,,Unknown
125,26396e4d-9f13-4f8c-a5b0-ef308dda09de,fdp,Unknown,fdp_20-09-2021_00:00_image13.jpeg,,,,,,Unknown
126,5588bcfe-6546-4e54-8969-dff487f6cd2b,fdp,Unknown,fdp_20-09-2021_00:00_image13.jpeg,,,,,,Unknown
127,c03cddce-30b4-4f3b-a993-6495b0754631,fdp,Unknown,fdp_20-09-2021_00:00_image13.jpeg,,,,,,Unknown
128,f5940433-b670-4d84-938c-093cc2754198,fdp,Unknown,fdp_20-09-2021_00:00_image13.jpeg,,,,,,Unknown
129,cf16cd95-493e-4364-ab0b-3b802de9d0b2,olafscholz,Olaf Scholz,olafscholz_25-09-2021_00:00_image1.jpeg,7283a49c-fba4-43e9-9a0b-a767ea44c1c0.png,0.5344629388403724,Facenet512,euclidean_l2,20.0,Olaf Scholz
130,f2d5103e-a4f8-41e7-84fa-9b376407a3b0,spdde,Unknown,spdde_18-09-2021_00:00_image0.jpeg,,,,,,Unknown
131,1a48032e-6be0-43fb-9503-852f99a437d9,spdde,Unknown,spdde_18-09-2021_00:00_image0.jpeg,,,,,,Unknown
132,23315193-6390-4b52-a38b-3c03df069db7,spdde,Unknown,spdde_18-09-2021_00:00_image0.jpeg,,,,,,Unknown
133,cd6cd323-90c2-436d-a947-8d9d56d0f4e2,spdde,Unknown,spdde_18-09-2021_00:00_image0.jpeg,,,,,,Unknown
134,bdb686f8-8d6c-414e-8bb4-cc8afe0a58f4,christlichsozialeunion,Unknown,christlichsozialeunion_16-09-2021_00:00_video6.jpeg,,,,,,Unknown
135,c40268e3-188c-4a02-8be2-7b4435b64b9f,christlichsozialeunion,Unknown,christlichsozialeunion_16-09-2021_00:00_video6.jpeg,,,,,,Unknown
136,ea08dab4-73de-4bd0-81f1-a3162fe2fdca,olafscholz,Unknown,olafscholz_20-09-2021_00:00_video1.jpeg,,,,,,Unknown
137,154b41b4-471b-47c9-a462-9683427f6552,olafscholz,Unknown,olafscholz_20-09-2021_00:00_video1.jpeg,,,,,,Unknown
141,32b0408b-0f3e-467b-ae26-58ae2ec134ac,die_gruenen,Unknown,die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,Unknown
142,cab8a338-5a70-481d-aeca-755af2c06f53,die_gruenen,Unknown,die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,Unknown
143,2c3e226b-a2b3-42e9-8c1a-8751036cfd0c,die_gruenen,Unknown,die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,Unknown
144,263438e8-31b8-4a37-9eb7-de4c0086ed78,die_gruenen,Unknown,die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,Unknown
145,efc7206d-4ff2-4b41-bdeb-58a6c9927e77,die_gruenen,Unknown,die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,Unknown
146,be140acf-f302-4779-ab62-1808e4ef4d45,die_gruenen,Unknown,die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,Unknown
147,bb1cb3ae-b930-43de-800a-fe775fc39b03,die_gruenen,Unknown,die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,Unknown
148,e9a70a6e-4c49-437e-a643-d580ba6d3ced,die_gruenen,Unknown,die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,Unknown
149,00c7feb9-5560-4079-9013-ddc2d17f9b57,die_gruenen,Unknown,die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,Unknown
150,3bd01045-4307-4dc6-ab81-871047cefd08,die_gruenen,Unknown,die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,Unknown
151,33117b64-5c5a-4d02-82f3-a6c57e2b6644,die_gruenen,Unknown,die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,Unknown
152,266dc32f-620d-4cd2-8f44-58d0bcb38ab3,die_gruenen,Unknown,die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,Unknown
153,e9744c81-4268-4c7c-9303-6f68d6b537c6,die_gruenen,Unknown,die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,Unknown
154,3559f0d3-16a7-4b74-863e-2087b10766db,die_gruenen,Unknown,die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,Unknown
155,5ecea025-63b6-44b7-ba0c-1fdbcbe8ce59,die_gruenen,Unknown,die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,Unknown
166,b341c49d-4e3e-473b-86b6-4c0239b9c6c9,fdp,Unknown,fdp_18-09-2021_00:00_video2.jpeg,,,,,,Unknown
167,de14dc76-4dd5-4ceb-ac57-8daca5a1e781,cdu,Unknown,cdu_16-09-2021_00:00_video20.jpeg,,,,,,Unknown
176,541b2f0b-b100-4945-bc5f-d159e110a549,fdp,Unknown,fdp_17-09-2021_00:00_video2.jpeg,,,,,,Unknown
177,f5835344-4fe9-4f5d-a8f0-e3b5a1b803c0,fdp,Christian Lindner,fdp_17-09-2021_00:00_video2.jpeg,,,,,,Unknown
198,2f5f8129-7e77-41cf-b643-a67acba57c2a,cdu,Armin Laschet,cdu_26-09-2021_00:00_video5.jpeg,,,,,,Unknown
203,5cb819df-fcc6-4ddc-ac65-e433e97af798,christlichsozialeunion,Unknown,christlichsozialeunion_23-09-2021_00:00_video0.jpeg,49bdb61e-e0b0-4666-9cf0-5c7ab16b2516.png,0.9793578683209252,Facenet512,euclidean_l2,2.0,Markus Söder
205,4c7e3b2b-197f-45f5-b3fb-b6ff897afecc,olafscholz,Unknown,olafscholz_22-09-2021_00:00_image4.jpeg,91d6fa25-3671-4110-8beb-1c3296cdf4d0.png,1.0384747663367504,Facenet512,euclidean_l2,1.0,Olaf Scholz
206,e9ebfb78-09ba-4d08-85d6-550db0a2e938,olafscholz,Olaf Scholz,olafscholz_22-09-2021_00:00_image4.jpeg,c27ee252-e37c-4074-92b5-20e300431107.png,0.5313578683557378,Facenet512,euclidean_l2,19.0,Olaf Scholz
209,2494dab0-41da-49b7-bf80-6047679ca11b,cdu,Unknown,cdu_22-09-2021_00:00_video0.jpeg,,,,,,Unknown
210,58d4a34f-5984-4156-94fd-986de74fa9e1,fdp,Unknown,fdp_18-09-2021_00:00_image1.jpeg,,,,,,Unknown
226,35179508-0098-429e-aef5-35e150adb21b,armin_laschet,Armin Laschet,armin_laschet_22-09-2021_00:00_video2.jpeg,c9b28a08-82fc-4524-9287-70b4dbc96c5b.png,0.6872065444346401,Facenet512,euclidean_l2,20.0,Armin Laschet
227,c83de8ff-3566-4484-bbd5-f7f007a4ecea,olafscholz,Unknown,olafscholz_25-09-2021_00:00_video7.jpeg,,,,,,Unknown
228,70a5178b-4cd4-4e67-9c39-68df06d4dc3a,olafscholz,Unknown,olafscholz_25-09-2021_00:00_video7.jpeg,,,,,,Unknown
229,22138ec6-5476-4e4a-95e8-2c5c34c0c1b4,olafscholz,Unknown,olafscholz_25-09-2021_00:00_video7.jpeg,,,,,,Unknown
230,bafec046-6d70-43a1-b046-364c63325be7,cdu,Unknown,cdu_26-09-2021_00:00_video3.jpeg,,,,,,Unknown
231,d6541c69-45a9-4d5a-a93a-132e8ea94760,cdu,Unknown,cdu_26-09-2021_00:00_video3.jpeg,,,,,,Unknown
232,f04a1032-4b19-4520-a7be-e8ae671ee719,cdu,Unknown,cdu_26-09-2021_00:00_video3.jpeg,,,,,,Unknown
233,00aa55bc-129e-46a5-be31-2a9cd797da59,cdu,Unknown,cdu_26-09-2021_00:00_video3.jpeg,,,,,,Unknown
234,59623bbf-1a67-4dd9-9fbe-7ef1bfaea5ab,cdu,Unknown,cdu_26-09-2021_00:00_video3.jpeg,,,,,,Unknown
235,be2ea3dc-626c-42b2-8adb-4a61112e0a2b,cdu,Unknown,cdu_26-09-2021_00:00_video3.jpeg,,,,,,Unknown
236,9123c830-29d5-4d5a-9760-b6a47d84de40,cdu,Unknown,cdu_26-09-2021_00:00_video3.jpeg,,,,,,Unknown
237,9272593a-50f3-4d1a-9a4d-74e28f56f55c,cdu,Unknown,cdu_26-09-2021_00:00_video3.jpeg,,,,,,Unknown
238,ab4ca2de-c1f8-42b1-9959-f0d3c21e5f52,cdu,Unknown,cdu_26-09-2021_00:00_video3.jpeg,,,,,,Unknown
239,065bcd1c-21f5-4e85-b7fc-46b46c8b0ad4,cdu,Unknown,cdu_26-09-2021_00:00_video3.jpeg,,,,,,Unknown
240,16964b77-31e5-422c-a320-d09eab150d95,olafscholz,Olaf Scholz,olafscholz_22-09-2021_00:00_video8.jpeg,,,,,,Unknown
241,3851042c-0345-4919-910b-73cda4693d15,christlichsozialeunion,Unknown,christlichsozialeunion_20-09-2021_00:00_video7.jpeg,,,,,,Unknown
249,9c4f6b6e-495e-4553-9df7-8e6c4ed7e37c,cdu,Unknown,cdu_26-09-2021_00:00_video0.jpeg,,,,,,Unknown
250,3234bc3a-334d-42f2-bf8c-77dc560942ac,cdu,Unknown,cdu_26-09-2021_00:00_video0.jpeg,,,,,,Unknown
251,e8c83eef-a22b-42b9-bd5a-c31284a21615,cdu,Unknown,cdu_26-09-2021_00:00_video0.jpeg,,,,,,Unknown
252,29e8b3fd-50fc-4c2b-bc86-f0bae54cb265,fdp,Unknown,fdp_23-09-2021_00:00_image0.jpeg,,,,,,Unknown
253,438c5a8f-816a-4615-bdd2-82fd1a9b66c8,fdp,Christian Lindner,fdp_23-09-2021_00:00_image0.jpeg,,,,,,Unknown
255,ecc9b50c-db19-496e-9929-1d7ecef497d5,abaerbock,Unknown,abaerbock_23-09-2021_00:00_image6.jpeg,,,,,,Unknown
256,f96fa21d-be78-475f-af79-8620303d6a17,abaerbock,Unknown,abaerbock_23-09-2021_00:00_image6.jpeg,,,,,,Unknown
257,638161cc-e73b-47e4-9cbe-0b4da14bfba9,abaerbock,Unknown,abaerbock_23-09-2021_00:00_image6.jpeg,,,,,,Unknown
258,d4499f08-1403-45b3-b998-b89efe184422,die_gruenen,Unknown,die_gruenen_14-09-2021_00:00_image0.jpeg,,,,,,Unknown
259,da64c83d-bd61-46ed-9c61-c9354f5d4818,die_gruenen,Unknown,die_gruenen_14-09-2021_00:00_image0.jpeg,,,,,,Unknown
260,3491e638-5815-4332-a8de-d99c9ed8caf6,die_gruenen,Unknown,die_gruenen_14-09-2021_00:00_image0.jpeg,,,,,,Unknown
261,5038559c-fd0f-4467-ac94-d0dd20f26211,cdu,Unknown,cdu_26-09-2021_00:00_video13.jpeg,,,,,,Unknown
262,d2701baf-e807-4b53-877b-156b6f73be1e,cdu,Armin Laschet,cdu_26-09-2021_00:00_video13.jpeg,,,,,,Unknown
263,01edfb91-5f5b-4481-b9ab-0fd8aabac43c,cdu,Unknown,cdu_26-09-2021_00:00_video13.jpeg,,,,,,Unknown
264,5021dd6f-073d-4c94-9bf1-e944e3008428,cdu,Armin Laschet,cdu_17-09-2021_00:00_video8.jpeg,,,,,,Unknown
267,ce599d00-3ce5-4dfd-879c-de9ee46f2df2,christianlindner,Christian Lindner,christianlindner_21-09-2021_00:00_image0.jpeg,lindner_christian_gross.jpeg,0.572773413302972,Facenet512,euclidean_l2,10.0,Christian Lindner
268,decafd94-5ecf-43bd-aacf-d6f252fb88b7,christianlindner,Unknown,christianlindner_21-09-2021_00:00_image0.jpeg,,,,,,Unknown
269,5d2958a5-09f8-43fe-a8d6-03874cd70eeb,christianlindner,Unknown,christianlindner_21-09-2021_00:00_image0.jpeg,,,,,,Unknown
270,5caf8879-1b03-476f-b595-1dc4a5e610e9,christianlindner,Unknown,christianlindner_21-09-2021_00:00_image0.jpeg,,,,,,Unknown
271,b15a1ab9-eb4c-4b93-bb52-0586615784bb,christianlindner,Unknown,christianlindner_21-09-2021_00:00_image0.jpeg,,,,,,Unknown
276,5f313918-328c-4000-a4a1-4cb1a1bee5c6,christlichsozialeunion,Unknown,christlichsozialeunion_25-09-2021_00:00_video3.jpeg,,,,,,Unknown
277,352309d7-d2bc-40d3-aff8-8bb2898edeec,spdde,Unknown,spdde_19-09-2021_00:00_video6.jpeg,,,,,,Unknown
284,4743c8b7-bc23-4b7e-8106-491376d8ecfa,abaerbock,Annalena Baerbock,abaerbock_21-09-2021_00:00_video0.jpeg,,,,,,Unknown
285,c8331bb4-2f85-48d4-8d5c-ba01ec62270e,cdu,Unknown,cdu_16-09-2021_00:00_video14.jpeg,,,,,,Unknown
286,9e373fcd-cf2d-4b80-98ca-c008bbb10175,spdde,Unknown,spdde_21-09-2021_00:00_video0.jpeg,82f4d29e-1d17-4672-b015-52009fda2a23.png,0.9719649346595765,Facenet512,euclidean_l2,2.0,Olaf Scholz
287,d8246fc5-78cb-4c44-85f3-763f7856e210,spdde,Olaf Scholz,spdde_21-09-2021_00:00_video0.jpeg,scholz_olaf.jpeg,0.6739640191282757,Facenet512,euclidean_l2,19.0,Olaf Scholz
288,5e93c9c8-f2fc-43f9-a70c-c587ca2cca94,christianlindner,Christian Lindner,christianlindner_25-09-2021_00:00_image2.jpeg,aba5bb44-8485-4f0d-9b60-c596194fa33b.png,0.5694734316756318,Facenet512,euclidean_l2,10.0,Christian Lindner
289,e6c8d591-2712-413e-8675-d04b9d0c1a0e,armin_laschet,Unknown,armin_laschet_17-09-2021_00:00_video18.jpeg,,,,,,Unknown
290,f8954ebd-8f45-40ba-a4fc-21b423e73728,armin_laschet,Unknown,armin_laschet_17-09-2021_00:00_video18.jpeg,,,,,,Unknown
291,82dc36b8-f484-4d4f-999b-9a3543e0a79c,armin_laschet,Unknown,armin_laschet_17-09-2021_00:00_video18.jpeg,,,,,,Unknown
292,7cfcb7c6-d2ae-4dbc-b63f-533a5e73a2f4,armin_laschet,Unknown,armin_laschet_17-09-2021_00:00_video18.jpeg,,,,,,Unknown
293,469d5278-277e-4abf-b502-2cc21ffb489a,abaerbock,Unknown,abaerbock_25-09-2021_00:00_image10.jpeg,,,,,,Unknown
294,b26b7961-277d-47c3-8dad-4afa2fcb2d19,abaerbock,Unknown,abaerbock_25-09-2021_00:00_image10.jpeg,,,,,,Unknown
295,543694ab-107e-451d-ae69-58c31f7fe7af,markus.soeder,Unknown,markus.soeder_25-09-2021_00:00_video2.jpeg,,,,,,Unknown
296,12ce9405-78d0-4c0e-a965-9f9ef458fb32,markus.soeder,Unknown,markus.soeder_25-09-2021_00:00_video2.jpeg,,,,,,Unknown
297,7ec91f99-1928-484a-bd3b-2a5a78ed8654,olafscholz,Unknown,olafscholz_22-09-2021_00:00_video9.jpeg,,,,,,Unknown
298,94a9edcd-5058-4bc8-9c8e-228e34c6ae9c,olafscholz,Unknown,olafscholz_22-09-2021_00:00_video9.jpeg,,,,,,Unknown
299,b18a3581-f599-4e8e-bf8a-fbcdbf77c675,olafscholz,Olaf Scholz,olafscholz_22-09-2021_00:00_video9.jpeg,,,,,,Unknown
300,a3c3a473-92e7-4cc8-b1b8-529f049b305d,spdde,Unknown,spdde_26-09-2021_00:00_image0.jpeg,,,,,,Unknown
301,ef1c5f1e-0296-4040-8428-08e54ca4b66e,spdde,Unknown,spdde_26-09-2021_00:00_image0.jpeg,,,,,,Unknown
302,bfef27b0-32c5-4177-a98b-bc31281652ae,spdde,Unknown,spdde_26-09-2021_00:00_image0.jpeg,,,,,,Unknown
