image,11926,11478,11766,9368,11835,9754,11909,11802
nicola_beer_20-09-2021_00:00_image1.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_image1.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_image1.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_image1.jpeg,,,,,,,,
christianlindner_25-09-2021_00:00_video0.jpeg,,,,,,,,
christianlindner_25-09-2021_00:00_video0.jpeg,,,,,,,,
christianlindner_25-09-2021_00:00_video0.jpeg,,,,,,,,
christianlindner_25-09-2021_00:00_video0.jpeg,Christian Lindner,Christian Lindner,,,,,,
abaerbock_18-09-2021_00:00_image6.jpeg,,,,,,,,
abaerbock_18-09-2021_00:00_image6.jpeg,,,,,,,,
abaerbock_18-09-2021_00:00_image6.jpeg,Annalena Baerbock,Annalena Baerbock,,,,,,
cdu_21-09-2021_00:00_video0.jpeg,,,,,,,,
cdu_18-09-2021_00:00_video6.jpeg,,,,,,,,
cdu_18-09-2021_00:00_video6.jpeg,,,,,,,,
abaerbock_16-09-2021_00:00_image8.jpeg,,,,,,,,
abaerbock_16-09-2021_00:00_image8.jpeg,,,,,,,,
abaerbock_16-09-2021_00:00_image8.jpeg,,,,,,,,
abaerbock_16-09-2021_00:00_image8.jpeg,Annalena Baerbock,Annalena Baerbock,,,,,,
abaerbock_16-09-2021_00:00_image8.jpeg,,,,,,,,
nicola_beer_22-09-2021_00:00_image8.jpeg,,,,,,,,
nicola_beer_22-09-2021_00:00_image8.jpeg,Nicola Beer,Nicola Beer,,,,,,
nicola_beer_22-09-2021_00:00_image8.jpeg,,,,,,,,
nicola_beer_22-09-2021_00:00_image8.jpeg,,,,,,,,
nicola_beer_22-09-2021_00:00_image8.jpeg,,,,,,,,
nicola_beer_22-09-2021_00:00_image8.jpeg,,,,,,,,
robert.habeck_23-09-2021_00:00_image3.jpeg,,,,,,,,
robert.habeck_23-09-2021_00:00_image3.jpeg,,,,,,,,
robert.habeck_23-09-2021_00:00_image3.jpeg,,,,,,,,
robert.habeck_23-09-2021_00:00_image3.jpeg,,,,,,,,
robert.habeck_23-09-2021_00:00_image3.jpeg,,,,,,,,
robert.habeck_23-09-2021_00:00_image3.jpeg,,,,,,,,
olafscholz_19-09-2021_00:00_image3.jpeg,,,,,,,,
nicola_beer_26-09-2021_00:00_video0.jpeg,,,,,,,,
nicola_beer_26-09-2021_00:00_video0.jpeg,Nicola Beer,Nicola Beer,,,,,,
nicola_beer_26-09-2021_00:00_video0.jpeg,,,,,,,,
fw_bayern_21-09-2021_00:00_image2.jpeg,,,,,,,,
fw_bayern_21-09-2021_00:00_image2.jpeg,,,,,,,,
fw_bayern_21-09-2021_00:00_image2.jpeg,,,,,,,,
fw_bayern_21-09-2021_00:00_image2.jpeg,,,,,,,,
fw_bayern_21-09-2021_00:00_image2.jpeg,,,,,,,,
cdu_20-09-2021_00:00_video16.jpeg,,,,,,,,
cdu_20-09-2021_00:00_video16.jpeg,,,,,,,,
fw_bayern_20-09-2021_00:00_image2.jpeg,,,,,,,,
fw_bayern_20-09-2021_00:00_image2.jpeg,,,,,,,,
armin_laschet_16-09-2021_00:00_image0.jpeg,,,,,,,,
armin_laschet_16-09-2021_00:00_image0.jpeg,Armin Laschet,Armin Laschet,,,,,,
armin_laschet_16-09-2021_00:00_image0.jpeg,,,,,,,,
abaerbock_18-09-2021_00:00_image7.jpeg,,,,,,,,
abaerbock_18-09-2021_00:00_image7.jpeg,,,,,,,,
abaerbock_18-09-2021_00:00_image7.jpeg,Annalena Baerbock,Annalena Baerbock,,,,,,
armin_laschet_23-09-2021_00:00_video11.jpeg,,,,,,,,
armin_laschet_23-09-2021_00:00_video11.jpeg,Armin Laschet,Armin Laschet,,,,,,
armin_laschet_23-09-2021_00:00_video11.jpeg,,,,,,,,
armin_laschet_23-09-2021_00:00_video11.jpeg,,,,,,,,
cdu_13-09-2021_00:00_video10.jpeg,,,,,,,,
cdu_13-09-2021_00:00_video10.jpeg,Armin Laschet,Armin Laschet,,,,,,
cdu_13-09-2021_00:00_video10.jpeg,,,,,,,,
armin_laschet_13-09-2021_00:00_image1.jpeg,,,,,,,,
armin_laschet_13-09-2021_00:00_image1.jpeg,Armin Laschet,Armin Laschet,,,,,,
armin_laschet_13-09-2021_00:00_image1.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image1.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image1.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image1.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image1.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image1.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image1.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image1.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image1.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image1.jpeg,Olaf Scholz,Olaf Scholz,,,,,,
spdde_18-09-2021_00:00_image1.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image1.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image1.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image1.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image1.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image1.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image1.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image1.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image1.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image1.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image1.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image1.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image1.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image1.jpeg,,,,,,,,
olafscholz_24-09-2021_00:00_image1.jpeg,,,,,,,,
olafscholz_24-09-2021_00:00_image1.jpeg,,,,,,,,
olafscholz_24-09-2021_00:00_image1.jpeg,Olaf Scholz,Olaf Scholz,,,,,,
olafscholz_24-09-2021_00:00_image1.jpeg,,,,,,,,
die_gruenen_25-09-2021_00:00_video27.jpeg,,,,,,,,
die_gruenen_25-09-2021_00:00_video27.jpeg,Robert Habeck,Robert Habeck,,,,,,
die_gruenen_25-09-2021_00:00_video27.jpeg,,,,,,,,
die_gruenen_25-09-2021_00:00_video27.jpeg,,,,,,,,
die_gruenen_25-09-2021_00:00_video27.jpeg,,,,,,,,
die_gruenen_25-09-2021_00:00_video27.jpeg,,,,,,,,
die_gruenen_25-09-2021_00:00_video27.jpeg,,,,,,,,
die_gruenen_25-09-2021_00:00_video27.jpeg,Robert Habeck,Robert Habeck,,,,,,
die_gruenen_25-09-2021_00:00_video27.jpeg,,,,,,,,
christlichsozialeunion_23-09-2021_00:00_video7.jpeg,,,,,,,,
fdp_20-09-2021_00:00_image13.jpeg,,,,,,,,
fdp_20-09-2021_00:00_image13.jpeg,,,,,,,,
fdp_20-09-2021_00:00_image13.jpeg,,,,,,,,
fdp_20-09-2021_00:00_image13.jpeg,,,,,,,,
fdp_20-09-2021_00:00_image13.jpeg,,,,,,,,
fdp_20-09-2021_00:00_image13.jpeg,,,,,,,,
fdp_20-09-2021_00:00_image13.jpeg,,,,,,,,
fdp_20-09-2021_00:00_image13.jpeg,,,,,,,,
fdp_20-09-2021_00:00_image13.jpeg,,,,,,,,
fdp_20-09-2021_00:00_image13.jpeg,,,,,,,,
fdp_20-09-2021_00:00_image13.jpeg,,,,,,,,
fdp_20-09-2021_00:00_image13.jpeg,,,,,,,,
fdp_20-09-2021_00:00_image13.jpeg,,,,,,,,
olafscholz_25-09-2021_00:00_image1.jpeg,,,,,,,,
olafscholz_25-09-2021_00:00_image1.jpeg,Olaf Scholz,Olaf Scholz,,,,,,
spdde_18-09-2021_00:00_image0.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image0.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image0.jpeg,,,,,,,,
spdde_18-09-2021_00:00_image0.jpeg,,,,,,,,
christlichsozialeunion_16-09-2021_00:00_video6.jpeg,,,,,,,,
christlichsozialeunion_16-09-2021_00:00_video6.jpeg,,,,,,,,
olafscholz_20-09-2021_00:00_video1.jpeg,,,,,,,,
olafscholz_20-09-2021_00:00_video1.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_video9.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_video9.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_video9.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_video9.jpeg,Nicola Beer,Nicola Beer,,,,,,
die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,,,
die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,,,
die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,,,
die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,,,
die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,,,
die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,,,
die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,,,
die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,,,
die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,,,
die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,,,
die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,,,
die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,,,
die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,,,
die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,,,
die_gruenen_25-09-2021_00:00_image6.jpeg,,,,,,,,
afd.bund_14-09-2021_00:00_video0.jpeg,,,,,,,,
saskiaesken_24-09-2021_00:00_image1.jpeg,,,,,,,,
saskiaesken_24-09-2021_00:00_image1.jpeg,,,,,,,,
saskiaesken_24-09-2021_00:00_image1.jpeg,Saskia Esken,,,,,,,
saskiaesken_24-09-2021_00:00_image1.jpeg,,,,,,,,
saskiaesken_24-09-2021_00:00_image1.jpeg,,,,,,,,
saskiaesken_24-09-2021_00:00_image1.jpeg,,,,,,,,
saskiaesken_24-09-2021_00:00_image1.jpeg,,,,,,,,
saskiaesken_24-09-2021_00:00_image1.jpeg,,,,,,,,
saskiaesken_24-09-2021_00:00_image1.jpeg,,,,,,,,
saskiaesken_24-09-2021_00:00_image1.jpeg,,,,,,,,
fdp_18-09-2021_00:00_video2.jpeg,,,,,,,,
cdu_16-09-2021_00:00_video20.jpeg,,,,,,,,
susanne_hennig_wellsow_24-09-2021_00:00_image6.jpeg,,,,,,,,
susanne_hennig_wellsow_24-09-2021_00:00_image6.jpeg,Susanne Hennig-Wellsow,Susanne Hennig-Wellsow,,,,,,
susanne_hennig_wellsow_24-09-2021_00:00_image6.jpeg,,,,,,,,
susanne_hennig_wellsow_24-09-2021_00:00_image6.jpeg,,,,,,,,
susanne_hennig_wellsow_24-09-2021_00:00_image6.jpeg,,,,,,,,
robert.habeck_25-09-2021_00:00_image3.jpeg,,,,,,,,
robert.habeck_25-09-2021_00:00_image3.jpeg,,Robert Habeck,,,,,,
afd.bund_25-09-2021_00:00_image19.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_image15.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_image15.jpeg,,,,,,,,
fdp_17-09-2021_00:00_video2.jpeg,,,,,,,,
fdp_17-09-2021_00:00_video2.jpeg,,,,,,,,
fdp_17-09-2021_00:00_video2.jpeg,Christian Lindner,Christian Lindner,,,,,,
nicola_beer_20-09-2021_00:00_image12.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_image12.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_image12.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_image12.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_image12.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_image12.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_image12.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_image12.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_image12.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_image12.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_image12.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_image12.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_image12.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_image12.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_image12.jpeg,Christian Lindner,Christian Lindner,,,,,,
nicola_beer_20-09-2021_00:00_image12.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_image12.jpeg,,,,,,,,
nicola_beer_20-09-2021_00:00_image12.jpeg,,,,,,,,
afd.bund_25-09-2021_00:00_image1.jpeg,,,,,,,,
afd.bund_25-09-2021_00:00_image1.jpeg,,,,,,,,
afd.bund_25-09-2021_00:00_image1.jpeg,Jörg Meuthen,,,,,,,
afd.bund_25-09-2021_00:00_image1.jpeg,,,,,,,,
cdu_26-09-2021_00:00_video5.jpeg,,,,,,,,
cdu_26-09-2021_00:00_video5.jpeg,Armin Laschet,Armin Laschet,,,,,,
robert.habeck_26-09-2021_00:00_video3.jpeg,,,,,,,,
robert.habeck_26-09-2021_00:00_video3.jpeg,,,,,,,,
robert.habeck_26-09-2021_00:00_video3.jpeg,,,,,,,,
robert.habeck_26-09-2021_00:00_video3.jpeg,,,,,,,,
robert.habeck_26-09-2021_00:00_video3.jpeg,Robert Habeck,,,,,,,
christlichsozialeunion_23-09-2021_00:00_video0.jpeg,,,,,,,,
atesgurpinar_24-09-2021_00:00_image0.jpeg,,,,,,,,
atesgurpinar_24-09-2021_00:00_image0.jpeg,Ates Gürpinar,Ates Gürpinar,,,,,,
olafscholz_22-09-2021_00:00_image4.jpeg,,,,,,,,
olafscholz_22-09-2021_00:00_image4.jpeg,,,,,,,,
olafscholz_22-09-2021_00:00_image4.jpeg,Olaf Scholz,Olaf Scholz,,,,,,
robert.habeck_17-09-2021_00:00_image8.jpeg,,,,,,,,
robert.habeck_17-09-2021_00:00_image8.jpeg,,,,,,,,
robert.habeck_17-09-2021_00:00_image8.jpeg,Robert Habeck,Robert Habeck,,,,,,
cdu_22-09-2021_00:00_video0.jpeg,,,,,,,,
fdp_18-09-2021_00:00_image1.jpeg,,,,,,,,
robert.habeck_15-09-2021_00:00_video2.jpeg,,,,,,,,
robert.habeck_15-09-2021_00:00_video2.jpeg,,,,,,,,
robert.habeck_15-09-2021_00:00_video2.jpeg,Robert Habeck,Robert Habeck,,,,,,
robert.habeck_15-09-2021_00:00_video2.jpeg,,,,,,,,
grey_gor_20-09-2021_00:00_video0.jpeg,,,,,,,,
grey_gor_20-09-2021_00:00_video0.jpeg,Gregor Voht,Gregor Voht,,,,,,
afd.bund_23-09-2021_00:00_video6.jpeg,,,,,,,,
afd.bund_23-09-2021_00:00_video6.jpeg,,,,,,,,
afd.bund_23-09-2021_00:00_video6.jpeg,,,,,,,,
robert.habeck_18-09-2021_00:00_video5.jpeg,,,,,,,,
robert.habeck_18-09-2021_00:00_video5.jpeg,Robert Habeck,Robert Habeck,,,,,,
robert.habeck_18-09-2021_00:00_video5.jpeg,,,,,,,,
robert.habeck_18-09-2021_00:00_video5.jpeg,,,,,,,,
robert.habeck_18-09-2021_00:00_video5.jpeg,,,,,,,,
robert.habeck_18-09-2021_00:00_video5.jpeg,,,,,,,,
robert.habeck_18-09-2021_00:00_video5.jpeg,,,,,,,,
robert.habeck_18-09-2021_00:00_video5.jpeg,,,,,,,,
robert.habeck_18-09-2021_00:00_video5.jpeg,,,,,,,,
armin_laschet_22-09-2021_00:00_video2.jpeg,,,,,,,,
armin_laschet_22-09-2021_00:00_video2.jpeg,Armin Laschet,Armin Laschet,,,,,,
olafscholz_25-09-2021_00:00_video7.jpeg,,,,,,,,
olafscholz_25-09-2021_00:00_video7.jpeg,,,,,,,,
olafscholz_25-09-2021_00:00_video7.jpeg,Saskia Esken,Saskia Esken,,,,,,
olafscholz_25-09-2021_00:00_video7.jpeg,,,,,,,,
cdu_26-09-2021_00:00_video3.jpeg,,,,,,,,
cdu_26-09-2021_00:00_video3.jpeg,,,,,,,,
cdu_26-09-2021_00:00_video3.jpeg,,,,,,,,
cdu_26-09-2021_00:00_video3.jpeg,,,,,,,,
cdu_26-09-2021_00:00_video3.jpeg,,,,,,,,
cdu_26-09-2021_00:00_video3.jpeg,,,,,,,,
cdu_26-09-2021_00:00_video3.jpeg,,,,,,,,
cdu_26-09-2021_00:00_video3.jpeg,,,,,,,,
cdu_26-09-2021_00:00_video3.jpeg,,,,,,,,
cdu_26-09-2021_00:00_video3.jpeg,,,,,,,,
olafscholz_22-09-2021_00:00_video8.jpeg,,,,,,,,
olafscholz_22-09-2021_00:00_video8.jpeg,Olaf Scholz,,,,,,,
christlichsozialeunion_20-09-2021_00:00_video7.jpeg,,,,,,,,
robert.habeck_17-09-2021_00:00_image4.jpeg,,,,,,,,
robert.habeck_17-09-2021_00:00_image4.jpeg,Robert Habeck,Robert Habeck,,,,,,
robert.habeck_17-09-2021_00:00_image4.jpeg,,,,,,,,
robert.habeck_17-09-2021_00:00_image4.jpeg,,,,,,,,
robert.habeck_17-09-2021_00:00_image4.jpeg,,,,,,,,
robert.habeck_17-09-2021_00:00_image4.jpeg,,,,,,,,
robert.habeck_17-09-2021_00:00_image4.jpeg,,,,,,,,
robert.habeck_17-09-2021_00:00_image4.jpeg,,,,,,,,
cdu_26-09-2021_00:00_video0.jpeg,,,,,,,,
cdu_26-09-2021_00:00_video0.jpeg,,,,,,,,
cdu_26-09-2021_00:00_video0.jpeg,,,,,,,,
fdp_23-09-2021_00:00_image0.jpeg,,,,,,,,
fdp_23-09-2021_00:00_image0.jpeg,,,,,,,,
fdp_23-09-2021_00:00_image0.jpeg,Christian Lindner,Christian Lindner,,,,,,
susanne_hennig_wellsow_18-09-2021_00:00_video1.jpeg,,,,,,,,
abaerbock_23-09-2021_00:00_image6.jpeg,,,,,,,,
abaerbock_23-09-2021_00:00_image6.jpeg,,,,,,,,
abaerbock_23-09-2021_00:00_image6.jpeg,,,,,,,,
die_gruenen_14-09-2021_00:00_image0.jpeg,,,,,,,,
die_gruenen_14-09-2021_00:00_image0.jpeg,,,,,,,,
die_gruenen_14-09-2021_00:00_image0.jpeg,,,,,,,,
cdu_26-09-2021_00:00_video13.jpeg,,,,,,,,
cdu_26-09-2021_00:00_video13.jpeg,,,,,,,,
cdu_26-09-2021_00:00_video13.jpeg,Armin Laschet,Armin Laschet,,,,,,
cdu_26-09-2021_00:00_video13.jpeg,,,,,,,,
cdu_17-09-2021_00:00_video8.jpeg,,,,,,,,
cdu_17-09-2021_00:00_video8.jpeg,Armin Laschet,Armin Laschet,,,,,,
fw_bayern_18-09-2021_00:00_video2.jpeg,,,,,,,,
fw_bayern_18-09-2021_00:00_video2.jpeg,,,,,,,,
christianlindner_21-09-2021_00:00_image0.jpeg,,,,,,,,
christianlindner_21-09-2021_00:00_image0.jpeg,Christian Lindner,Christian Lindner,,,,,,
christianlindner_21-09-2021_00:00_image0.jpeg,,,,,,,,
christianlindner_21-09-2021_00:00_image0.jpeg,,,,,,,,
christianlindner_21-09-2021_00:00_image0.jpeg,Annalena Baerbock,Annalena Baerbock,,,,,,
christianlindner_21-09-2021_00:00_image0.jpeg,,,,,,,,
christianlindner_21-09-2021_00:00_image0.jpeg,Robert Habeck,Robert Habeck,,,,,,
christianlindner_21-09-2021_00:00_image0.jpeg,,,,,,,,
christianlindner_21-09-2021_00:00_image0.jpeg,Olaf Scholz,Olaf Scholz,,,,,,
robert.habeck_25-09-2021_00:00_image1.jpeg,,,,,,,,
saskiaesken_25-09-2021_00:00_video7.jpeg,,,,,,,,
saskiaesken_25-09-2021_00:00_video7.jpeg,Olaf Scholz,Olaf Scholz,,,,,,
afd.bund_23-09-2021_00:00_video2.jpeg,,,,,,,,
afd.bund_23-09-2021_00:00_video2.jpeg,,,,,,,,
christlichsozialeunion_25-09-2021_00:00_video3.jpeg,,,,,,,,
spdde_19-09-2021_00:00_video6.jpeg,,,,,,,,
saskiaesken_17-09-2021_00:00_image0.jpeg,,,,,,,,
saskiaesken_17-09-2021_00:00_image0.jpeg,,,,,,,,
saskiaesken_17-09-2021_00:00_image0.jpeg,,,,,,,,
saskiaesken_17-09-2021_00:00_image0.jpeg,Saskia Esken,Saskia Esken,,,,,,
saskiaesken_17-09-2021_00:00_image0.jpeg,,,,,,,,
saskiaesken_17-09-2021_00:00_image0.jpeg,,,,,,,,
saskiaesken_17-09-2021_00:00_image0.jpeg,,,,,,,,
abaerbock_21-09-2021_00:00_video0.jpeg,,,,,,,,
abaerbock_21-09-2021_00:00_video0.jpeg,Annalena Baerbock,Annalena Baerbock,,,,,,
cdu_16-09-2021_00:00_video14.jpeg,,,,,,,,
spdde_21-09-2021_00:00_video0.jpeg,,,,,,,,
spdde_21-09-2021_00:00_video0.jpeg,Armin Laschet,Armin Laschet,,,,,,
spdde_21-09-2021_00:00_video0.jpeg,,,,,,,,
spdde_21-09-2021_00:00_video0.jpeg,Olaf Scholz,Olaf Scholz,,,,,,
christianlindner_25-09-2021_00:00_image2.jpeg,,,,,,,,
christianlindner_25-09-2021_00:00_image2.jpeg,Christian Lindner,Christian Lindner,,,,,,
armin_laschet_17-09-2021_00:00_video18.jpeg,,,,,,,,
armin_laschet_17-09-2021_00:00_video18.jpeg,,,,,,,,
armin_laschet_17-09-2021_00:00_video18.jpeg,,,,,,,,
armin_laschet_17-09-2021_00:00_video18.jpeg,,,,,,,,
abaerbock_25-09-2021_00:00_image10.jpeg,,,,,,,,
abaerbock_25-09-2021_00:00_image10.jpeg,,,,,,,,
markus.soeder_25-09-2021_00:00_video2.jpeg,,,,,,,,
markus.soeder_25-09-2021_00:00_video2.jpeg,,,,,,,,
markus.soeder_25-09-2021_00:00_video2.jpeg,Armin Laschet,Armin Laschet,,,,,,
olafscholz_22-09-2021_00:00_video9.jpeg,,,,,,,,
olafscholz_22-09-2021_00:00_video9.jpeg,,,,,,,,
olafscholz_22-09-2021_00:00_video9.jpeg,,,,,,,,
olafscholz_22-09-2021_00:00_video9.jpeg,Olaf Scholz,Olaf Scholz,,,,,,
spdde_26-09-2021_00:00_image0.jpeg,,,,,,,,
spdde_26-09-2021_00:00_image0.jpeg,,,,,,,,
spdde_26-09-2021_00:00_image0.jpeg,,,,,,,,
olafscholz_19-09-2021_00:00_image2.jpeg,,,,,,,,
olafscholz_19-09-2021_00:00_video12.jpeg,,,,,,,,
olafscholz_19-09-2021_00:00_video12.jpeg,,,,,,,,
olafscholz_19-09-2021_00:00_video12.jpeg,Olaf Scholz,Olaf Scholz,,,,,,
olafscholz_19-09-2021_00:00_video12.jpeg,,,,,,,,
christlichsozialeunion_18-09-2021_00:00_video12.jpeg,,,,,,,,
christlichsozialeunion_18-09-2021_00:00_video12.jpeg,,,,,,,,
christlichsozialeunion_18-09-2021_00:00_video12.jpeg,,,,,,,,
christlichsozialeunion_18-09-2021_00:00_video12.jpeg,,,,,,,,
dielinke_17-09-2021_00:00_video2.jpeg,,,,,,,,
dielinke_17-09-2021_00:00_video2.jpeg,,,,,,,,
dielinke_17-09-2021_00:00_video2.jpeg,Susanne Hennig-Wellsow,Susanne Hennig-Wellsow,,,,,,
nicola_beer_24-09-2021_00:00_image4.jpeg,,,,,,,,
nicola_beer_24-09-2021_00:00_image4.jpeg,Nicola Beer,Nicola Beer,,,,,,
nicola_beer_24-09-2021_00:00_image4.jpeg,,,,,,,,
nicola_beer_24-09-2021_00:00_image4.jpeg,Christian Lindner,Christian Lindner,,,,,,
robert.habeck_23-09-2021_00:00_image7.jpeg,,,,,,,,
robert.habeck_23-09-2021_00:00_image7.jpeg,Robert Habeck,Robert Habeck,,,,,,
abaerbock_26-09-2021_00:00_image7.jpeg,,,,,,,,
abaerbock_26-09-2021_00:00_image7.jpeg,,,,,,,,
abaerbock_26-09-2021_00:00_image7.jpeg,,,,,,,,
abaerbock_26-09-2021_00:00_image7.jpeg,,,,,,,,
abaerbock_26-09-2021_00:00_image7.jpeg,,,,,,,,
abaerbock_26-09-2021_00:00_image7.jpeg,,,,,,,,
abaerbock_26-09-2021_00:00_image7.jpeg,,,,,,,,
abaerbock_26-09-2021_00:00_image7.jpeg,,,,,,,,
abaerbock_26-09-2021_00:00_image7.jpeg,,,,,,,,
abaerbock_26-09-2021_00:00_image7.jpeg,,,,,,,,
cdu_25-09-2021_00:00_video2.jpeg,,,,,,,,
abaerbock_14-09-2021_00:00_video3.jpeg,,,,,,,,
abaerbock_14-09-2021_00:00_video3.jpeg,Annalena Baerbock,Annalena Baerbock,,,,,,
abaerbock_14-09-2021_00:00_video3.jpeg,,,,,,,,
abaerbock_14-09-2021_00:00_video3.jpeg,,,,,,,,
abaerbock_14-09-2021_00:00_video3.jpeg,,,,,,,,
olafscholz_22-09-2021_00:00_video7.jpeg,,,,,,,,
olafscholz_22-09-2021_00:00_video7.jpeg,Olaf Scholz,Olaf Scholz,,,,,,
olafscholz_22-09-2021_00:00_video7.jpeg,,,,,,,,
